à		Vit, I, E
ân huệ		Na
bạch mao căn		Nc
ăn thua		Vit
an hưởng		Vta
bánh răng		Nc
anh linh		Na, Aa
ăn đời ở kiếp		Vit
bản vị		Na, Aa
báo ảnh		Nc, Ng
anđehit		Np
bánh nậm		Nc
bản chính		Nc, Ng
báo phục		Vt
bần bách		Aa
áo quan		Nc
acquy		Np
á nhiệt đới		Na
bạo loạn		Na
bản xứ		Na
bánh gio		Nc
biệt tích		Aa
bàn soạn		Vt
ấm sinh		Nc, Ng
bãi bỏ		Vt
an nhiên		Aa
âm luật		Na
anh minh		Aa
bách thanh		Nc, Ng
bát chậu		Nc, Ng
ăn trộm		Vt
bản vị kép		Na
bạt vía		Aa
ấp iu		Vt
bạo ngược		Aa
ballast		Np
ăcquy		Np
apatit		Np
alphabet		Np
bạch thoại		Na
ban công		Nc, Ng
bắn bổng		Vit
áo xiêm		Ng
bàn máy		Nc, Ng
bạch yến		Nc, Ng
bao dai		Aa
ban miêu		Nc, Ng
ammoniac		Np
bách quan		Nc, Ng
bến tàu		Nc, Ng
bán tống		Vit
ấn định		Vt
bánh ướt		Nc
bất bạo động		Vit
bánh vẽ		Nc
ăn chắc mặc bền		Vit
bản quán		Na
bản in thử		Nc, Ng
bán buôn		Vt
ăn đợi nằm chờ		Vit
ba hoa xích đế		Aa
bảo tàng		Vt
bao hoa		Nc
ăn người		Vit
bàn rùn		Vit
bài tiết		Vit
bà con		Ng
bao trùm		Vt
a-lu-min		Np
ấm siêu		Nc
biên tập		Vt
bao lơn		Nc
bao xa		An
bảng cân đối		Nc, Ng
bảng vàng		Nc, Ng
bá tước		Nc, Ng, Na
bàn giao		Vt
alumin		Np
bao gói		Nc, Ng, Vt
âm mưu		Na, Vt
bắt khoán		Vit
ăn không		Vit
âu yếm		Vt, Aa
bẻo lẻo		Aa
bao phủ		Vt
bàn ren		Nc, Ng
ba mươi		Nn
âm thanh		Na
bao quản		Vt
bay		Nc, Pp, Vit
aminoacid		Np
ăn chực nằm chờ		Vit
bảo vật		Nc, Ng
bạt tử		Aa
bạn bầy		Na
âm lượng		Na
bán rao		Vit
bắp tay		Nc, Ng
bán đảo		Nc, Ng
bầu cử		Vt
bại vong		Vit
ảnh thật		Nc, Ng
bánh tây		Nc
bánh phồng		Nc
bán cầu não		Nc, Ng
báo động		Vit
bá quan		Nc, Ng
bánh đa nem		Nc
ban chấp uỷ		Nc, Ng
bạng nhạng		Nc, Ng
ẩm ương		Aa
bán sơn địa		Nc, Ng
ampere kế		Nc
băng xăng		Vit
bạch tuộc		Nc, Ng
bánh dẻo		Nc
bắc sài hồ		Nc, Ng
bản sao		Nc, Ng
ấn phẩm		Nc, Ng
bảo chứng		Na, Vit
bàng hoàng		Aa
anophel		Np
anh trai		Na
bi tráng		Aa
batket		Np
bắt chước		Vt
bàn chân		Nc, Ng
bát mẫu		Nc, Ng
bao dung		Aa
bạn cọc chèo		Nc, Ng
bản ngã		Na
arsenic		Np
albumin		Np
bánh tôm		Nc
bầy nhầy		Aa
biết ơn		Vt
ẩn hiện		Vit
bái biệt		Vt
bặt tăm		Vit
bancông		Nc, Ng
bánh tày		Nc
án treo		Na
bạo ăn bạo nói		Vit
ăn tiêu		Vit
bánh qui		Nc
ca-ti-on		Np
bakelit		Np
bảo lưu		Vt
biên chế		Na, Vit
bảng màu		Nc
bạch nhật		Na
bằng chứng		Nc, Ng
ba trui		Vit
ăn quịt		Vit
anh thư		Na
ảnh hưởng		Na, Vta
băng phiến		Nc, Ng
báo ơn		Vt
bản mường		Nc, Ng
bao mua		Vt
bản năng		Na
bán chạy		Vit
ăn quỵt		Vit
ba toong		Nc
armonica		Np
a-nô-phen		Np
ậm ờ		Vit
bán tự động		Aa
ba soi		Nc, Ng
bát ô tô		Nc, Ng
bặm trợn		Aa
bão táp		Nc, Ng
bảo vệ		Nc, Ng, Vt
ẩn khuất		Vit
an-bu-min		Np
an-go-rít		Np
cấy cưỡng		Vit
ác-bít hối đoái		Na
bấp ba bấp bênh		Aa
bào tử nang		Nc, Ng
bám víu		Vt
bản thảo		Nc, Ng
ban bí thư		Nc, Ng
anbumin		Np
anh túc xác		Nc, Ng
ancaloit		Np
áo gấm đi đêm		X
bàng thính		Vit
bát ngát		An
bán trả dần		Vit
bảo hiểm		Vt
bay nhảy		Vit
bày vai		Aa
bàn cát		Nc, Ng
bằng bặn		Aa
âm trình		Na
bắt tréo		Vt
bại tướng		Nc, Ng
bom phóng		Nc, Ng
ba trăng		Na
bắt bánh		Vit
ăn lông ở lỗ		Vit
ba chân bốn cẳng		Aa
bài tính		Nc, Ng
ba rem		Na
bão bùng		Nc, Ng
bán chác		Vit
ao chuôm		Nc, Ng
bánh thánh		Nc
ăccoócđêông		Np
ăn trầu		Vit
bay lượn		Vit
bập bà bập bùng		Aa
áo phông		Nc
bẽn lẽn		Aa
bắp vế		Nc, Ng
ba hồn chín vía		Np
am tường		Vt
ăn xổi ở thì		Vit
bỗng nhiên		Jt, Jr
bắt thăm		Vit
bản làng		Nc, Ng
ban-giô		Np
bán nước		Vit
bát tiết		Na
ân đức		Na
áp suất		Na
ba hồn bảy vía		Np
anh quân		Na
anh em cọc chèo		Nc, Ng
ban chấp hành		Nc, Ng
bại quân		Nc, Ng
bất đồng		Aa
bập bà bập bềnh		Vit
biểu diễn		Vt
bao phấn		Nc
băng		Nc, Ng, Vt, Vo, Aa, Jd
ảo tưởng		Na
bao cao su		Nc
asphalt		Np
bạt thiệp		Aa
bất như ý		Aa
bạt tê		Aa
bao tiêu		Vt
bắt nạt		Vt
ban ngày		Na
bảng lảng		Aa
bảng số		Nc, Ng
anh tuấn		Aa
báo hại		Vt
anh em thúc bá		Nc, Ng
bẳn		Vit
bảo mẫu		Nc, Ng
ấn tượng		Na
bị vong lục		Nc, Ng
bầu đoàn		Ng
bằng vai		Aa
bẫy		Nc, Ng, Vt
bàn ra		Vit
axeton		Np
áo lọt lòng		Nc
bán trả góp		Vit
bánh vít		Nc
bát diện		Ng
ảo tượng		Nc, Ng
bảo hộ mậu dịch		Na
bảnh mắt		Vit
bạch trọc		Na
bao biện		Vt
áo tứ thân		Nc
a-xê-ton		Np
bình quân		Aa
ba chìm bảy nổi		X
bằng không		Cc, Aa
bao caosu		Nc
bánh tro		Nc
bặt thiệp		Aa
bạo liệt		Aa
bằng lăng		Nc, Ng
bao đồng		Aa
bắt cái		Vit
bạch dương		Nc
biên phòng		Vit
bảo quản		Vt
ba hoa chích choè		Aa
bánh canh		Nc
âm dương		Na
batrui		Vit
bánh trái		Nc
bá tánh		Ng
bái xái		Aa
adrenalin		Np
bản dương		Nc, Ng
ăn cháo đái bát		X
bộ lạc		Nc, Ng
bao lâu		An
bá quyền		Na
bất di bất dịch		Vit
bán tháo		Vit
biên dạng		Nc
báo thù		Vit
bản ngữ		Na
accordeon		Np
ăn gởi nằm nhờ		Vit
bánh chưng		Nc
bần cố nông		Nc, Ng
bàng tiếp		Vit, Aa
bằng phẳng		Aa
bảo hộ lao động		Vit
bạc bromua		Nc
bè cánh		Nc, Ng
ađrenalin		Np
a-xít a-min		Np
a-đrê-na-lin		Np
bình dân học vụ		Na
bè bạn		Nc, Ng
bát két		Nc, Ng
bàn phím		Nc, Ng
bi đông		Np
bắn tẩy		Vit
bánh ú tro		Nc
bày tỏ		Vt
bản liệt in		Nc, Ng
bi ba bi bô		Vit
bãi triều		Vit
bóng nhoáng		Aa
bát quái		Ng
bầy tôi		Na
báo liếp		Nc, Ng
bẩn thỉu		Aa
bản thân		Na
bao nhiêu		Pi
bất bằng		Aa
bán đổ bán tháo		Vit
anh nuôi		Nc, Ng
ăn hại đái nát		Vit
bình luận		Vt
bàn trổ		Nc, Ng
ấu trùng		Nc, Ng
ăn gửi nằm nhờ		Vit
bất quá		Jd
bắt nhịp		Vit
bao tải		Nc
báo vụ		Na
bê tha		Vt, Aa
bất động sản		Na
bạch đậu khấu		Nc
bao bố		Nc
bảo trì		Na, Vt
bao tượng		Nc
bậm trợn		Aa
bắn tiếng		Vt
bảo tháp		Nc, Ng
bắt mạch		Vit
bánh khúc		Nc
bản vị chủ nghĩa		Aa
bất khả kháng		Vit
ba lăng nhăng		Aa
basalt		Np
bắt chẹt		Vt
bánh nướng		Nc
bán vợ đợ con		Vit
ban phát		Vt
ba rọi		Nc, Aa
bạn bầu		Na
bắt cóc bỏ đĩa		X
ba mươi Tết		Na
băng video		Nc, Ng
bem		Na, Aa
bể khổ		Na
bào thai		Nc, Ng
băng hình		Nc, Ng
bài xuất		Vt
báo tường		Nc, Ng
bán kính		Nc
ba xạo		Aa
ảo thuật		Nc, Ng
angorit		Np
bồi thường		Vt
bát tiên		Ng
bạt mạng		Aa
báo công		Vit
báo quán		Nc, Ng
bánh quế		Nc
bái tổ		Vit
bất động		Aa
an-ti-mon		Np
cá thát lát		Nc, Ng
bàng quang		Nc, Ng
bát		Nc, Nn, Vt
bảnh trai		Aa
ậm ừ		Vit
bất luận		Jd
băng-giô		Np
bắt bánh xe		Vit
antimon		Np
baren		Np
bánh bèo		Nc
bánh giò		Nc
biến thiên		Na, Vit
acbit hối đoái		Na
bánh mật		Nc
bàn thạch		Nc, Ng
bắt đầu từ		Cc
biến trở		Nc, Ng
bảo tồn		Vt
bài trí		Vit
bí quyết		Na
biên ải		Nc, Ng
ảnh dương		Nc, Ng
bầu		Nc, Nt, Vt, Aa
bảng		Nc, Nu, Na
barrel		Np
át-mốt-phe		Np
bắt nguồn		Vit
bạn đường		Nc, Ng
bắt buộc		Vt
bang biện		Nc, Ng
bảnh bao		Aa
áo năm thân		Nc
apartheid		Np
ăn hiếp ăn đáp		Vt
bẳn tính		Aa
bênh vực		Vt
bánh tráng		Nc
bánh mướt		Nc
bàn rà		Nc, Ng
bảo kê		Nc, Ng, Vt
bay bổng		Vit
bạo động		Na, Vit
á nguyên		Na
a priori		Jr, Aa
bán hạ		Nc, Ng
bảo sanh		Nc, Ng
biệt động		Aa
bạo nghịch		Aa
bắt chân chữ ngũ		Vit
bâng quơ		Aa
ban đầu		Na
bào xác		Nc
acetylen		Np
acid carbonic		Np
bao quát		Vt
bần tiện		Aa
biển ngắm		Nc, Ng
bệnh binh		Nc, Ng
bát trận đồ		Nc, Ng
bán sỉ		Vit
bao sân		Vit
bao chiếm		Vt
aspirin		Np
ăn cắp ăn nảy		Vit
ấp dân sinh		Nc, Ng
bàn trang		Nc, Ng
bền vững		Aa
bát phẩm		Na
báu vật		Nc, Ng
bêu diếu		Vt
bá vương		Nc, Ng, Na
bèo nhèo		Aa
bàn thờ		Nc, Ng
bánh trôi		Nc
báo cáo viên		Nc, Ng
báo chương		Nc, Ng
bấu véo		Vt
bán thân		Na
binh biến		Na
bái vật giáo		Na
bắt bóng đè chừng		Vit
bạt tai		Vit
bay biến		Vit, Jd
băng từ		Nc, Ng
bật đèn xanh		Vit
bây giờ		Pd
bát cổ		Aa
bất thành cú		Aa
bắn		Vt
ân thưởng		Vt
bao thầu		Vt
bão tố		Nc, Ng
bánh khoái		Nc
bè phái		Nc, Ng, Aa
bánh lái		Nc
bà nguyệt		Nc, Ng
ấp chiến lược		Nc, Ng
bảo hiểm xã hội		Vit
bỏ ngoài tai		Vit
bạo phát		Vit
bí mật nhà nghề		Na
băng sơn		Nc
bán trú		Vit
bánh ếch		Nc
bắp ngô		Nc, Ng
bạch huyết		Nc, Ng
áp huyết		Na
bọ mắm		Nc, Ng
bằng cứ		Nc, Ng, Vit
bánh xèo		Nc
bắp chuối		Nc, Ng
buôn bán		Vt
bất tường		Aa
bánh khoai		Nc
automat		Np
bầu hâm		Nc, Ng
bắp chân		Nc, Ng
bát hương		Nc, Ng
bé xé ra to		X
binh nghiệp		Na
bất công		Aa
bấy chầy		Pd
bất khuất		Aa
bắt mắt		Vit
ban giám hiệu		Nc, Ng
bao tời		Nc
axit amin		Np
áo cánh tiên		Nc
biết đâu đấy		Jd
bất tất		Ja
bắc		Na, Vt
bảng hiệu		Nc, Ng
binh phục		Nc, Ng
bộ trưởng		Nc, Ng
bánh quy		Nc
ba mặt một lời		X
ấm chuyên		Nc
biên đội		Nc, Ng
a-xpi-rin		Np
béo mỡ		Aa
bậy bạ		Aa
bù loong		Nc, Ng
bé hạt tiêu		Aa
biểu tình		Vit
bằn bặt		Aa
bích cốt		Nc
bạt hơi		Aa
bản thể luận		Na
bệ phóng		Nc, Ng
ăn bơ làm biếng		Vit
biển cả		Nc, Ng
bô đê		Vit
bần huyết		Na
bị thương		Vit, Va
bất nhược		Cc
bầu ngưng		Nc, Ng
bất mãn		Vit, Aa
bán xới		Vit
axetilen		Np
bon sê vích		Np
beta		Np
bạo chúa		Na
bảo dưỡng		Vt
bắc cực quyền		Na
bàng quan		Vit
bấn bíu		Aa
bạt ngàn		An
bản quyền		Na
ăn nên làm ra		Vit
a-xê-ti-len		Np
bôn sê vích		Na
bắt cóc		Vt
bắt tình		Vit
biệt tịch		Aa
bắt cá hai tay		X
bật lò xo		Vit
bà trẻ		Nc, Ng
bầu nậm		Nc, Ng
atropin		Np
binh lực		Na
a-trô-pin		Np
ba hoa thiên địa		Aa
bạn đời		Nc, Ng
bần nông		Nc, Ng
bê tông		X
biện luận		Vit
binh nhu		Nc, Ng
bần cùng		Aa
bạo tàn		Aa
bài trừ		Vt
ăn gió nằm mưa		Vit
búp phê		Nc, Ng
bỏ cuộc		Vit
bất tiện		Aa
bao vây		Vt
bẻ hành bẻ tỏi		Vit
bí thuật		Na
bát đàn		Nc, Ng
báo quốc		Vit
bánh gối		Nc
binh phí		Nc, Ng
bạc bromur		Nc
biết chừng nào		Jd
bạo lực		Na
bích báo		Nc, Ng
ăn sương		Vit
biện pháp		Na
batoong		Np
biên khu		Nc, Ng
biến cách		Vit
băng giá		Nc, Ng
áo trấn thủ		Nc
acid nitric		Np
anh hùng cá nhân		Aa
bánh cóc		Nc
bất minh		Aa
bắng nhắng		Vit
bộc bạch		Vt
bất tử		Aa
bánh bao		Nc
bánh hỏi		Nc
bày đặt		Vt
binh dịch		Na
bảo hiểm hỗn hợp		Na
bất kể		Jd
bắt tay		Vt
bạt		Nc, Nu, Vt
bò cạp		Nc, Ng
béo quay		Aa
bấu xén		Vt
bậc tam cấp		Nc, Ng
bắt tội		Vt
a-mi-nô a-xít		Np
biết đâu chừng		Jd
biên cương		Nc, Ng
buôn làng		Ng
bị gậy		Ng
bắt chuyện		Vit
binh chủng		Nc, Ng
bao lan		Nc
bẳn gắt		Vit
án quyết		Na
bay hơi		Vit
anthracit		Np
ánh sáng lạnh		Na
bảo ban		Vt
anh hùng chủ nghĩa		Aa
bấu		Vt
báng		Nc, Ng, Vt
bôn xu		Vit
báo vụ viên		Nc, Ng
băng đạn		Nc, Ng
bâng khuâng		Aa
bạch đầu quân		Nc, Ng
ấn loát phẩm		Ng
bi hài kịch		Na
bôn ba		Vit
bảy mươi		Nn
bình minh		Na
bóng chuyền		Nc, Ng
bóng tròn		Nc, Ng
bản thể		Na
bạn trăm năm		Nc, Ng
an-tra-xít		Np
binh cơ		Na
biến chuyển		Na, Vit
ăn không nói có		Vit
bát chữ		Nc, Ng
ấn quyết		Nc, Ng
bang		Nc, Ng, Nu
béo nung núc		Aa
blu dông		Np
bất hảo		Aa
batui		Vit
ăn to nói lớn		Vit
bình nghị		Vt
bội nghịch		Vit
báo đền		Vt
biếu xén		Vt
bichquy		Nc, Ng
bẻ hoẹ		Vit
bịt mắt bắt dê		Nc
bất đẳng thức		Na
bằng sáng chế		Nc, Ng
bảo trợ		Vt
biên lai		Nc, Ng
atmosphe		Np
án binh bất động		Vit
bầu chủ		Vit
bệnh viện		Nc, Ng
banh		Nc, Ng, Vt, Aa
bình thường		Aa
bìa trong		Nc, Ng
bắt thường		Vt
bắp cày		Nc, Ng
bánh đậu xanh		Nc
biệt kích		Nc, Ng, Vit
bầu không khí		Np
bão từ		Nc, Ng
bệnh tưởng		Na
bitcôt		Np
bấy		Pn, Aa
can tràng		Na, Aa
bất túc		Aa
bề tôi		Na
bia hơi		Nc, Ng
báo hiếu		Vt
atmotphe		Np
anh hùng rơm		Na
arbit hối đoái		Np
ba mũi giáp công		X
bát cú		Aa
bẽ bàng		Aa
bộ tư lệnh		Nc, Ng
bó tay		Vit
bạo hành		Na
bán tống táng		Vit
bảo hiểm bắt buộc		Na
bập bà bập bõm		Jd
bi thương		Aa
bao cấp		Vt
bích hoạ		Nc, Ng
cày		Nc, Ng, Vt
buồn thảm		Aa
bàu bạu		Aa
bẩm chất		Na
béo tốt		Aa
bắt ne bắt nét		Vit
binh hoả		Nc, Ng
bom khinh khí		Nc, Ng
bất lực		Aa
bần		Nc, Aa
bẻ bai		Aa
bấm chí		Vitim
buôn buốt		Aa
bắc bán cầu		Nl
bêu nắng		Vit
bẩm tính		Na
bất chính		Aa
bình quyền		Aa
bảng tổng sắp		Nc, Ng
bạo gan		Aa
băm		Nu, Vt
bầu đàn thê tử		Np
băng huyết		Vit
bêu riếu		Vt
bạn lòng		Na
bánh bàng		Nc
bệnh xã hội		Na
bép xép		Vit
bonsevich		Np, Aa
bần bật		Aa
biến cải		Vtb
bí truyền		Aa
bền chí		Aa
bốn phương		Ng
bảo mật		Vt
bấy bớt		Aa
bần thần		Aa
biền biệt		Aa
bầy hầy		Aa
cá lớn nuốt cá bé		X
bèo bọt		Nc, Ng
bọ rầy xanh		Nc, Ng
bịa đặt		Vt
bè đảng		Nc, Ng
bìu díu		Vt
bấm ngọn		Vit
bệnh tình		Na
báo tang		Vit
bão tuyết		Nc, Ng
bánh tai voi		Nc
âm dương lịch		Nc
bé cái lầm		Vit
bích ngọc		Nc, Ng
biến cố		Na
bôđê		Vit
bấu víu		Vt
bảo lãnh		Vt
bắp thịt		Nc, Ng
an toàn khu		Nc
bài binh bố trận		Vit
bạo mồm bạo miệng		Vit
bá vơ		Aa
bí phấn		Nc, Ng
bây chừ		Pd
băng ca		Nc, Ng
binh pháp		Nc, Ng
bẩn mình		Aa
biền ngẫu		Na
bán nguyệt		Na
băng nhóm		Nc, Ng
bắt nhân tình		Vit
algorithm		Np
bình bản		Nc
bề bộn		Aa
bê-ta		Np
bùng bục		Aa
biểu tượng		Nc, Ng
bị thịt		Na
bất chấp		Vt
bất nhân		Aa
bình tuyển		Vt
cảm thương		Vt, Vim, Vtim
bắt đền		Vt
bạo bệnh		Na
banjo		Np
bánh đa		Nc
bồi bếp		Nc, Ng
biên thuỳ		Nc, Ng
băng lăn		Nc
bất trị		Aa
ăn no vác nặng		Vit
ăn chay nằm đất		Vit
bận mọn		Aa
bằng vai phải lứa		Aa
biến cách		Vit
biên niên		Aa
bênh		Vt
biến tướng		Na, Vit
bất tài		Aa
bày biện		Vt
binh gia		Nc, Ng
aminoaxit		Np
biên chép		Vt
bàn dân thiên hạ		Nc, Ng
bao biếm		Vit
bập bồng		Vit
bẩm báo		Vt
bồ hóng		Nc, Ng
bủn xỉn		Aa
bì thư		Nc, Ng
biện minh		Vit
bao thơ		Nc
bàn tay vàng		Nc, Ng
ăn thật làm giả		Vit
bộ môn		Nc, Ng
bất thường		Aa
bầu dục		Nc, Ng
bắn chác		Vit
bươm bướm		Nc, Ng
bệnh trạng		Na
bằng hữu		Nc, Ng
bắt quyết		Vit
bèo tây		Nc, Ng
an tức hương		Nc
buốt		Aa
bất lợi		Aa
bằng cấp		Nc, Ng
bất kì		Aa, Jd
bí beng		Aa
boliviano		Np
bệnh tâm thần		Na
bình phong		Nc, Ng
bàn ra tán vào		Vit
băng nhân		Nc, Ng
bán sống bán chết		Aa
buồn bực		Aa
bọ rầy		Nc, Ng
ca ve		Nc, Ng
buôn người		Vit
bán thành phẩm		Nc, Ng
bấm ra sữa		Aa
bánh nếp		Nc
biền văn		Na
antraxit		Np
bột giấy		Nc, Ng
ca-tốt		Np
bạn điền		Nc, Ng
băng đảo		Nc, Ng
bấm độn		Vit
bậm bạp		Aa
bội chi		Vit
bão rớt		Nc, Ng
binh đao		Nc, Ng
bổ sung		Vt
biến thái		Na
axit cacbonic		Np
bộ vạt		Nc, Ng
bất hoà		Aa
beo		Nc, Ng, Vt, Aa
bờ rào		Nc, Ng
bê rê		Nc, Ng
bấn loạn		Vit, Aa
bắt chợt		Vit
bói không ra		Vt
bay bướm		Aa
bình công		Vit
bất thình lình		Jt
bến xe		Nc, Ng
bậu		Nc, Pp, Vt
bạo dạn		Aa
bán tín bán nghi		Vit
bi khúc		Nc
bổ khuyết		Vit
báo hiệu		Vt
bất nhất		Aa
biểu hiện		Na, Vt
cải cách điền địa		Na, Vit
bộ đội địa phương		Nc, Ng
bác cổ thông kim		Aa
bắt gặp		Vt
bần đạo		Na
cải hoá		Vt
bắt nét		Vit
bóng mát		Nc, Ng
bằng lặng		Aa
bo siết		Vt
be bé		An
bình phương		Na, Vit
bít cốt		Nc
bí thơ		Na
bành		Nc, Ng
bấu chí		Vt
bổ chửng		Vit
buồng thêu		Nc, Ng
bom bay		Nc, Ng
bi-tum		Np
bảo an binh		Nc, Ng
ăn mòn kim loại		Vit
ca vát		Nc, Ng
bọ que		Nc, Ng
bát phố		Vit
báo tử		Vit
cá lưỡng tiêm		Nc, Ng
bismuth		Np
bất diệt		Aa
bây nhiêu		Pn
bảo tồn bảo tàng		Vit
bơi dai sức		Vit
biệt phái		Vt
bận rộn		Aa
bất bình		Aa
bắt bẻ		Vit
bánh mì		Nc
bệnh thời khí		Na
bầu sao		Nc, Ng
bành trướng		Vt
biến tấu		Vit
biểu kiến		Aa
âu thuyền		Nc
bên nguyên		Na
bom đạn		Nc, Ng
biến hoá		Vtb
bậy		Aa
bao gồm		Vt
chân không		Na
bất nhẫn		Aa
biến chất		Vitb
bẩn tưởi		Aa
bắt thóp		Vt
an dưỡng đường		Nc
bạch cương tàm		Nc, Ng
bánh cắt		Nc
bánh bỏng		Nc
bé bỏng		Aa
bí ngô		Nc, Ng
cánh tay đòn		Nc, Ng
bát nháo		Aa
bludông		Np
ba máu sáu cơn		X
biết bao nhiêu		Jd
an-ti-pi-rin		Np
an cư lạc nghiệp		Vit
bi hoan		Aa
binh đội		Nc, Ng
bắt ép		Vt
biện chứng pháp		Na
bớt xén		Vt
binh lương		Ng
biến chứng		Na, Vit
antipirin		Np
bệch		Aa
bình nguyên		Nc, Ng
bầu chọn		Vt
bóng dáng		Nc, Ng
bấm chí		Vit
binh quyền		Na
bít tất tay		Nc, Ng
bói toán		Vit
bệnh nghề nghiệp		Na
bích quy		Nc, Ng
ấu trĩ viên		Nc, Ng
bình cũ rượu mới		X
bồ cu vẽ		Nc, Ng
bảo lĩnh		Vt
biên dịch		Vt
băng tuyết		Nc, Ng
bồi lấp		Vt
biểu dương		Vt
biệt danh		Na
ba trợn ba trạo		Aa
bẩn		Aa
ban ngày ban mặt		Np
cau cảu		Aa
bận tâm		Aa
bách niên giai lão		Vit
bạo phổi		Aa
bạt vía kinh hồn		Aa
bình bịch		Nc, Ng
bó trát		Vit
bấy lâu		Pd
bắt giọng		Vit
bèo		Nc, Ng
bầu đoàn thê tử		Np
biệt động quân		Nc, Ng
bờ quai		Nc, Ng
biểu đồng tình		Vit
bào tộc		Nc, Ng
biến đổi		Na, Vtb
bế giảng		Vit
buông lỏng		Vt
bôn hành		Vit
binh vận		Vit
bi thiết		Aa
bắt cô trói cột		Nc, Ng
bủn nhủn		Vt, Aa
bèo ong		Nc, Ng
bình dị		Aa
bấy nhiêu		Pn
bội chi ngân sách		Na
bất lương		Aa
bất hiếu		Aa
bệnh phẩm		Nc, Ng
bộ sấy hơi		Nc, Ng
bĩ cực thái lai		X
bạch huyết cầu		Nc, Ng
bươm		Aa
bất nghì		Aa
băngca		Nc, Ng
bất khả		Vt
bào chế học		Na
binh nhung		Nc, Ng
bệnh nhân		Nc, Ng
bầu trời		Nc, Ng
biệt hiệu		Na
biểu trưng		Nc, Ng, Vit
bơm chân không		Nc, Ng
bí thư		Nc
bể dâu		Na
bồn chồn		Vitim, Aa
bộc lôi		Nc, Ng
bít tất		Nc, Ng
bất đắc kì tử		Vit
bia tươi		Nc, Ng
bớt mồm bớt miệng		Vit
bảng tuần hoàn		Nc, Ng
choi choi		Nc, Ng
buộc chỉ chân voi		X
bao nả		Pn
bất hủ		Aa
bất cập		Aa
bập bỗng		Aa
bến vượt		Nc, Ng
các tông		Nc, Ng
bế quan toả cảng		Vit
an toàn lao động		Na
bán tống bán táng		Vit
cầu trượt		Nc, Ng
biên uỷ		Nc, Ng
bơn		Nc
bênh		Vt
bô bin		Nc
bấy giờ		Pd
bố láo bố lếu		Aa
ba đầu sáu tay		X
biểu quyết		Vit
cáp		Nc, Ng
bó giò		Vit
bó tròn		Vit
bánh xe		Nc
bét be		Aa
bất ngờ		Aa
bập bềnh		Vit
chlorur		Np
bầy trẻ		Ng
bom hoá học		Nc, Ng
biết tỏng		Vt
cải cách ruộng đất		Na, Vit
cả vú lấp miệng em		X
bước đầu		Na
bình địa ba đào		X
bách chiến bách thắng		Aa
bừa răng		Nc, Ng
căn cứ quân sự		Nc, Ng
bất thần		Aa
bộ mặt hàng		Ng
bưởi đường		X
bí rì		Aa
bán tống bán tháo		Vit
bát chiết yêu		Nc, Ng
bất chợt		Jt
bất kỳ		Aa, Jd
bang tá		Nc, Ng
bất đắc chí		Aa
bọ chỉ hồng		Nc, Ng
bộ tướng		Nc, Ng
bệnh bạch cầu		Na
biến thế tự ngẫu		Nc, Ng
bắt chuồn chuồn		Vit
bán nguyên âm		Nc, Ng
buôn hàng xách		Vit
bình công chấm điểm		Vit
bưởi		Nc, Ng
béo múp		Aa
buồn thiu		Aa
bitum		Np
băn khoăn		Aa
bẩn thẩn bần thần		Aa
bì sì		Aa
axit axetic		Np
bất tận		Aa
bánh phồng tôm		Nc
bằng lòng		Vt
bập bõm		Jd
bỏ rơi		Vt
bộ đội chủ lực		Nc, Ng
biên mậu		Na
bước ngoặt		Na
bạn vong niên		Nc, Ng
bình sinh		Na
bức bách		Vt
cao quí		Aa
cá độ		Vt
bỏ thây		Vit
bênh bè		Vit
cá chiên		Nc, Ng
bất khả xâm phạm		Aa
bình nhật		Na
bặng nhặng		Vit
bắt		Vt
bọ cạp		Nc, Ng
bông thấm nước		Nc, Ng
bén ngót		Aa
bần sĩ		Nc, Ng
bỏ lửng		Vit
bi kịch		Na
binh chế		Na
buôn lậu		Vit
biệt ly		Vit
binh thư		Nc, Ng
ăn mặn khát nước		X
bình thường hoá		Vt
cãi chày cãi cối		Vit
bếp nước		Nc, Ng
bỏ phiếu		Vt
biệt vô âm tín		Aa
bẫy cò ke		Nc, Ng
bộp chộp		Aa
biến tính		Vitb
binh lính		Nc, Ng
bệu		Aa
bằng		Nc, Ng, Vt, Vc, Vtc, Aa, An, Cm
cách mạng vô sản		Na
bảng cửu chương		Nc, Ng
bắt nợ		Vt
bầu bậu		Aa
bê trễ		Vt
bồng bồng		Nc
cảnh vật		Nc, Ng
bèo hoa dâu		Nc, Ng
bóp nghẹt		Vt
bông lông		Aa
cây thân cỏ		Nc, Ng
ăn hương ăn hoa		Vit
bần tăng		Na
bồi khoản		Nc, Ng
cải hoa		Nc, Ng
birr		Np
bóp họng		Vt
bước nhảy vọt		Na
bình yên		Aa
bội số chung		Na
bảnh		Aa
bi chí		Nc
ăn dưng ngồi rồi		Vit
bình tâm		Vit
bát âm		Ng
bày vẽ		Vt
becgiê		Np
bộc tuệch bộc toạc		Aa
bộ vi xử lí		Nc, Ng
bụng làm dạ chịu		X
cằn cọc		Aa
bướu giáp		Nc, Ng
bỗng không		Jt, Jr
cam thảo		Nc, Ng
bi		Nc, Aa
báo ứng		Vit
biên bản		Nc, Ng
bò lê bò càng		Vit
bóng thám không		Nc, Ng
bổ túc văn hoá		Vit
bưu kiện		Nc, Ng
bắt bí		Vt
